Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-10-17,ETHBTC,0.02185,0.02195,0.02176,0.02195,1154.18,25.21
2019-10-16,ETHBTC,0.02212,0.02218,0.02173,0.02185,6268.35,136.95
2019-10-15,ETHBTC,0.02238,0.0225,0.02185,0.02212,7946.56,175.28
2019-10-14,ETHBTC,0.02185,0.02247,0.02185,0.02238,10575.11,234.28
2019-10-13,ETHBTC,0.02168,0.02198,0.02159,0.02185,2505.09,54.66
2019-10-12,ETHBTC,0.02186,0.02208,0.02127,0.02168,5940.48,129.21
2019-10-11,ETHBTC,0.02232,0.02268,0.02161,0.02186,10538.86,231.97
2019-10-10,ETHBTC,0.0225,0.02266,0.02206,0.02232,7573.03,169.78
2019-10-09,ETHBTC,0.02209,0.02336,0.02194,0.0225,26969.21,605.76
2019-10-08,ETHBTC,0.02197,0.0224,0.02178,0.02209,15181.42,335.45
2019-10-07,ETHBTC,0.02167,0.0221,0.02161,0.02197,12644.48,276.64
2019-10-06,ETHBTC,0.02169,0.02196,0.02138,0.02167,10702.91,231.65
2019-10-05,ETHBTC,0.02159,0.02179,0.02138,0.02169,3724.86,80.39
2019-10-04,ETHBTC,0.02124,0.0218,0.02124,0.02159,3204.63,68.9
2019-10-03,ETHBTC,0.0216,0.0216,0.02098,0.02124,6920.31,148.03
2019-10-02,ETHBTC,0.02118,0.0217,0.0211,0.0216,7088.37,152.05
2019-10-01,ETHBTC,0.02182,0.02209,0.02103,0.02118,12960.58,278.96
2019-09-30,ETHBTC,0.02104,0.02183,0.02101,0.02182,17815.3,381.85
2019-09-29,ETHBTC,0.02116,0.02123,0.0207,0.02104,5128.45,107.73
2019-09-28,ETHBTC,0.02123,0.02154,0.02076,0.02116,9661.26,205.7
2019-09-27,ETHBTC,0.02056,0.02156,0.02047,0.02123,9755.82,206.19
2019-09-26,ETHBTC,0.02015,0.02059,0.01966,0.02056,25710.78,520.46
2019-09-25,ETHBTC,0.01953,0.02031,0.01943,0.02015,12225.75,243.68
2019-09-24,ETHBTC,0.02077,0.02079,0.01884,0.01953,41376.4,815.9
2019-09-23,ETHBTC,0.02106,0.02134,0.02053,0.02077,9280.9,195.15
2019-09-22,ETHBTC,0.02156,0.02157,0.02065,0.02106,13336.74,281.88
2019-09-21,ETHBTC,0.02145,0.02177,0.02141,0.02156,5601.23,121.01
2019-09-20,ETHBTC,0.0215,0.02157,0.02107,0.02145,11607.96,247.8
2019-09-19,ETHBTC,0.02069,0.02224,0.02029,0.0215,28009.17,596.25
2019-09-18,ETHBTC,0.0204,0.02132,0.0204,0.02069,22071.69,461.11
2019-09-17,ETHBTC,0.01926,0.021,0.01921,0.0204,32366.62,647.36
2019-09-16,ETHBTC,0.01836,0.01954,0.01836,0.01926,29952.36,565.7
2019-09-15,ETHBTC,0.01822,0.01845,0.01807,0.01836,5856.13,107.21
2019-09-14,ETHBTC,0.01751,0.01837,0.01747,0.01822,19436.91,349.18
2019-09-13,ETHBTC,0.01736,0.01764,0.01725,0.01751,5689.96,99.01
2019-09-12,ETHBTC,0.01754,0.01765,0.01734,0.01736,6979.98,122.13
2019-09-11,ETHBTC,0.01781,0.01798,0.01744,0.01754,11331.64,200.6
2019-09-10,ETHBTC,0.01754,0.01787,0.01751,0.01781,9723.55,171.98
2019-09-09,ETHBTC,0.01745,0.01774,0.01724,0.01754,16167.26,282.96
2019-09-08,ETHBTC,0.01699,0.01756,0.01699,0.01745,10858.39,188.09
2019-09-07,ETHBTC,0.01637,0.01717,0.0163,0.01699,10864.08,182.43
2019-09-06,ETHBTC,0.01645,0.01657,0.01611,0.01637,13068.37,213.52
2019-09-05,ETHBTC,0.01653,0.01659,0.0162,0.01645,8317.96,136.47
2019-09-04,ETHBTC,0.01687,0.01699,0.01641,0.01653,10792.29,180.23
2019-09-03,ETHBTC,0.01719,0.01728,0.01672,0.01687,19077.82,323.96
2019-09-02,ETHBTC,0.01752,0.01774,0.01716,0.01719,7828.65,136.81
2019-09-01,ETHBTC,0.0179,0.01803,0.01752,0.01752,5590.67,99.01
2019-08-31,ETHBTC,0.01758,0.01808,0.01739,0.0179,4531.18,79.97
2019-08-30,ETHBTC,0.01779,0.01785,0.01751,0.01758,7849.04,138.68
2019-08-29,ETHBTC,0.01778,0.01795,0.01747,0.01779,8411.25,149.19
2019-08-28,ETHBTC,0.01841,0.01842,0.01723,0.01778,16378.13,291.61
2019-08-27,ETHBTC,0.01817,0.01855,0.01812,0.01841,3706.58,68.04
