Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-10-17,ETHUSD,174.39,176.87,172.77,176.33,7993.88,1395289.62
2019-10-16,ETHUSD,180.52,181.19,171.62,174.39,41341.15,7253726.57
2019-10-15,ETHUSD,186.78,188.66,177,180.52,53933.54,9810235.6
2019-10-14,ETHUSD,181.09,187.71,180.54,186.78,35526.02,6539549.3
2019-10-13,ETHUSD,179.93,184.98,178.79,181.09,20752.57,3779498.96
2019-10-12,ETHUSD,180.83,184.71,177.68,179.93,29536.37,5358811.46
2019-10-11,ETHUSD,191.56,197.45,179.61,180.83,67003.1,12568893.98
2019-10-10,ETHUSD,193.5,194.81,187.95,191.56,34232.59,6555453.78
2019-10-09,ETHUSD,181,196.2,179.3,193.5,66122.98,12485016.46
2019-10-08,ETHUSD,180.42,185.34,177.54,181,39276.47,7116674.65
2019-10-07,ETHUSD,170.33,182.93,168.64,180.42,54200.59,9572118.81
2019-10-06,ETHUSD,176.58,177.17,167.75,170.33,50525.6,8686623.87
2019-10-05,ETHUSD,175.82,177.19,171.58,176.58,25429.16,4453298.34
2019-10-04,ETHUSD,174.79,179.35,171.15,175.82,32228.53,5651733.34
2019-10-03,ETHUSD,180.88,181.16,170,174.79,55307.31,9642359.04
2019-10-02,ETHUSD,176.49,181.57,174.1,180.88,35357.78,6271269.7
2019-10-01,ETHUSD,181.53,185.79,173.09,176.49,74417.13,13398572.7
2019-09-30,ETHUSD,169.36,181.62,165.22,181.53,80976.94,14054150.88
2019-09-29,ETHUSD,173.96,174.62,164.47,169.36,38764.34,6534074.57
2019-09-28,ETHUSD,174.46,175.98,168.02,173.96,38470.37,6656976.58
2019-09-27,ETHUSD,165.88,177.1,161.06,174.46,62241.95,10488113.31
2019-09-26,ETHUSD,169.92,170.9,151.86,165.88,99789.68,16281220.4
2019-09-25,ETHUSD,166.28,174.94,162.28,169.92,89526.4,15030269.73
2019-09-24,ETHUSD,200.77,202.8,152.4,166.28,190344.44,33559376.96
2019-09-23,ETHUSD,211.07,211.54,198.2,200.77,61461.66,12607810.03
2019-09-22,ETHUSD,214.94,215.41,206.13,211.07,40565.65,8520983.43
2019-09-21,ETHUSD,218.1,221.62,213.3,214.94,40639.14,8810739.64
2019-09-20,ETHUSD,220.79,221.93,212.2,218.1,49725.84,10803332.33
2019-09-19,ETHUSD,210.23,224.8,202.1,220.79,111853.26,23899143.05
