Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-10-17,LTCBTC,0.006569,0.006632,0.006476,0.006632,1149.3,7.5
2019-10-16,LTCBTC,0.006692,0.006767,0.00644,0.006569,3684.62,24.19
2019-10-15,LTCBTC,0.006814,0.006852,0.006481,0.006692,6015.76,39.91
2019-10-14,LTCBTC,0.00682,0.006874,0.006778,0.006814,3469.47,23.73
2019-10-13,LTCBTC,0.006705,0.006886,0.006705,0.00682,1536.0,10.47
2019-10-12,LTCBTC,0.00675,0.006778,0.006672,0.006705,1776.1,11.95
2019-10-11,LTCBTC,0.006715,0.006759,0.006589,0.00675,3053.82,20.44
2019-10-10,LTCBTC,0.006906,0.006906,0.006687,0.006715,2227.81,15.12
2019-10-09,LTCBTC,0.00694,0.007087,0.006826,0.006906,5496.92,38.17
2019-10-08,LTCBTC,0.007021,0.007037,0.006936,0.00694,3864.02,26.94
2019-10-07,LTCBTC,0.006945,0.0071,0.006868,0.007021,2879.79,20.16
2019-10-06,LTCBTC,0.006964,0.00705,0.006801,0.006945,5423.51,37.74
2019-10-05,LTCBTC,0.006925,0.007083,0.00691,0.006964,7355.38,51.29
2019-10-04,LTCBTC,0.006855,0.007034,0.006855,0.006925,4319.43,30.08
2019-10-03,LTCBTC,0.006736,0.006931,0.006644,0.006855,3126.8,21.21
2019-10-02,LTCBTC,0.0067,0.006857,0.0067,0.006736,2149.28,14.56
2019-10-01,LTCBTC,0.006762,0.006859,0.006612,0.0067,7362.03,49.58
2019-09-30,LTCBTC,0.006692,0.006916,0.006687,0.006762,29292.63,199.25
2019-09-29,LTCBTC,0.006727,0.006774,0.006581,0.006692,4227.74,28.21
2019-09-28,LTCBTC,0.00682,0.006844,0.006697,0.006727,1975.0,13.4
2019-09-27,LTCBTC,0.006807,0.006907,0.006702,0.00682,3398.24,23.14
2019-09-26,LTCBTC,0.00682,0.0069,0.006481,0.006807,11461.52,76.53
2019-09-25,LTCBTC,0.006445,0.006958,0.00641,0.00682,7772.12,51.64
2019-09-24,LTCBTC,0.006854,0.007102,0.006429,0.006445,28031.94,190.48
