Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-10-17,LTCUSD,52.56,53.41,51.61,53.41,3652.28,190704.06
2019-10-16,LTCUSD,54.6,55.3,50.67,52.56,24260.56,1279200.38
2019-10-15,LTCUSD,56.8,57.4,53.01,54.6,22815.43,1255509.7
2019-10-14,LTCUSD,56.42,57.12,56.1,56.8,6942.59,393823.98
2019-10-13,LTCUSD,55.9,57.71,55.59,56.42,7236.96,412018.86
2019-10-12,LTCUSD,55.91,56.44,55.53,55.9,2889.97,161950.73
2019-10-11,LTCUSD,57.65,58.63,55.47,55.91,20631.25,1169201.84
2019-10-10,LTCUSD,59.33,59.46,57.24,57.65,8425.83,489960.45
2019-10-09,LTCUSD,57.07,60.19,56.71,59.33,19705.21,1156634.84
2019-10-08,LTCUSD,57.57,58.52,56.5,57.07,8945.75,512788.32
2019-10-07,LTCUSD,54.54,58.78,53.35,57.57,17199.72,975388.82
2019-10-06,LTCUSD,56.84,56.93,53.02,54.54,17414.06,957959.91
2019-10-05,LTCUSD,56.54,57.48,55.75,56.84,10620.61,599831.38
2019-10-04,LTCUSD,56.4,57.42,55.34,56.54,11421.11,646324.81
2019-10-03,LTCUSD,56.41,57.02,53.33,56.4,21279.49,1174297.78
2019-10-02,LTCUSD,55.67,56.72,55.31,56.41,13552.24,759307.4
2019-10-01,LTCUSD,56.12,57.61,54.97,55.67,18978.11,1067335.62
2019-09-30,LTCUSD,53.94,56.4,52.55,56.12,24685.6,1350189.13
2019-09-29,LTCUSD,55.43,55.61,52.23,53.94,16027.06,858929.18
2019-09-28,LTCUSD,55.88,56.26,53.91,55.43,18554.5,1026166.49
2019-09-27,LTCUSD,55.17,56.8,52.6,55.88,24375.39,1328553.59
2019-09-26,LTCUSD,57.45,57.49,50.22,55.17,46518.51,2526926.62
2019-09-25,LTCUSD,54.76,58.38,52.97,57.45,58434.55,3274900.78
2019-09-24,LTCUSD,66.41,67.32,53.66,54.76,88484.12,5311344.03
2019-09-23,LTCUSD,72.56,74.09,61.45,66.41,21210.4,1452929.83
2019-09-22,LTCUSD,73.18,73.19,71.07,72.56,11304.67,815456.2
2019-09-21,LTCUSD,75.05,75.64,72,73.18,16378.21,1211558.8
2019-09-20,LTCUSD,77.04,77.04,72.87,75.05,19622.26,1470548.59
