Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume USD
2019-10-17,XRPUSD,0.2836,0.2995,0.2801,0.2951,5262993.9,1514942.8
2019-10-16,XRPUSD,0.2883,0.292,0.2781,0.2836,13626056.41,3879641.73
2019-10-15,XRPUSD,0.2977,0.2993,0.2827,0.2883,15979845.0,4639004.19
2019-10-14,XRPUSD,0.2775,0.298,0.2768,0.2977,19319068.96,5591235.35
2019-10-13,XRPUSD,0.2726,0.2821,0.2717,0.2775,7289810.64,2027797.51
2019-10-12,XRPUSD,0.2677,0.2774,0.2677,0.2726,5572333.0,1522221.37
2019-10-11,XRPUSD,0.2711,0.2762,0.2652,0.2677,10183138.32,2739449.84
2019-10-10,XRPUSD,0.2819,0.2823,0.2651,0.2711,9506472.45,2595674.47
2019-10-09,XRPUSD,0.2778,0.2873,0.2735,0.2819,13544430.47,3800451.32
2019-10-08,XRPUSD,0.2765,0.2856,0.2712,0.2778,15040273.95,4173963.57
2019-10-07,XRPUSD,0.2555,0.2822,0.2537,0.2765,30264477.72,8258398.84
2019-10-06,XRPUSD,0.2537,0.2566,0.251,0.2555,6472835.37,1640747.66
2019-10-05,XRPUSD,0.2528,0.2568,0.2471,0.2537,6823171.83,1721209.44
2019-10-04,XRPUSD,0.247,0.2572,0.2451,0.2528,9304730.73,2343398.11
2019-10-03,XRPUSD,0.2535,0.254,0.241,0.247,13804827.32,3414930.58
2019-10-02,XRPUSD,0.248,0.255,0.2447,0.2535,17027724.42,4251346.25
2019-10-01,XRPUSD,0.2567,0.2615,0.2437,0.248,16379570.55,4147990.42
2019-09-30,XRPUSD,0.2404,0.2618,0.2353,0.2567,24871266.08,6284958.55
2019-09-29,XRPUSD,0.2423,0.2427,0.2349,0.2404,8511064.59,2033325.82
2019-09-28,XRPUSD,0.2428,0.2451,0.2378,0.2423,7648509.26,1846524.68
2019-09-27,XRPUSD,0.2426,0.2474,0.2332,0.2428,21154475.03,5064439.19
2019-09-26,XRPUSD,0.2456,0.2499,0.2241,0.2426,19201505.96,4577420.48
