Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume BTC
2019-10-17,XMRBTC,0.00684,0.007247,0.006807,0.007158,6584.54,46.49
2019-10-16,XMRBTC,0.006384,0.00691,0.006346,0.00684,10880.21,72.68
2019-10-15,XMRBTC,0.006354,0.00648,0.006329,0.006384,2391.03,15.34
2019-10-14,XMRBTC,0.00644,0.00645,0.006312,0.006354,5459.94,34.82
2019-10-13,XMRBTC,0.006453,0.006487,0.006322,0.00644,2830.86,18.11
2019-10-12,XMRBTC,0.006541,0.0066,0.006426,0.006453,1060.14,6.875
2019-10-11,XMRBTC,0.006505,0.006663,0.006451,0.006541,2409.86,15.83
2019-10-10,XMRBTC,0.006675,0.0067,0.006433,0.006505,2765.85,18.15
2019-10-09,XMRBTC,0.006783,0.006846,0.006512,0.006675,1290.46,8.604
2019-10-08,XMRBTC,0.006865,0.006878,0.006721,0.006783,1461.78,9.962
2019-10-07,XMRBTC,0.006961,0.007009,0.006832,0.006865,1822.28,12.6
2019-10-06,XMRBTC,0.00694,0.007029,0.006918,0.006961,1280.09,8.93
2019-10-05,XMRBTC,0.00701,0.007074,0.006818,0.00694,1092.37,7.56
2019-10-04,XMRBTC,0.006825,0.00707,0.00673,0.00701,3902.02,26.98
2019-10-03,XMRBTC,0.006681,0.007,0.006655,0.006825,3557.95,24.07
2019-10-02,XMRBTC,0.006661,0.006879,0.006608,0.006681,5344.55,35.71
2019-10-01,XMRBTC,0.006864,0.006908,0.006658,0.006661,4490.78,30.42
2019-09-30,XMRBTC,0.00693,0.007043,0.006778,0.006864,2291.53,15.79
2019-09-29,XMRBTC,0.00703,0.00704,0.006835,0.00693,1323.21,9.168
2019-09-28,XMRBTC,0.007059,0.00708,0.006984,0.00703,1598.34,11.24
2019-09-27,XMRBTC,0.007087,0.007288,0.006966,0.007059,7357.94,52.04
2019-09-26,XMRBTC,0.00708,0.007147,0.006752,0.007087,9357.66,65.18
2019-09-25,XMRBTC,0.00691,0.007139,0.006725,0.00708,3440.31,23.94
2019-09-24,XMRBTC,0.007065,0.007207,0.00677,0.00691,7674.87,53.45
2019-09-23,XMRBTC,0.007278,0.00728,0.00705,0.007065,3038.18,21.75
2019-09-22,XMRBTC,0.007265,0.007397,0.007181,0.007278,1746.17,12.7
2019-09-21,XMRBTC,0.007248,0.007375,0.00721,0.007265,919.28,6.697
2019-09-20,XMRBTC,0.007415,0.007652,0.00718,0.007248,7355.76,54.48
2019-09-19,XMRBTC,0.008017,0.008017,0.007355,0.007415,6496.26,49.15
2019-09-18,XMRBTC,0.007256,0.008089,0.007224,0.008017,14729.92,111.71
2019-09-17,XMRBTC,0.007335,0.00738,0.007199,0.007256,4165.2,30.27
2019-09-16,XMRBTC,0.007315,0.00738,0.007028,0.007335,9132.56,65.35
2019-09-15,XMRBTC,0.007345,0.007385,0.007185,0.007315,301.39,2.186
2019-09-14,XMRBTC,0.007411,0.00745,0.007185,0.007345,3639.17,26.66
2019-09-13,XMRBTC,0.007215,0.007418,0.007076,0.007411,1218.58,8.732
2019-09-12,XMRBTC,0.007282,0.007295,0.007087,0.007215,918.5,6.55
2019-09-11,XMRBTC,0.007118,0.0074,0.007013,0.007282,5173.62,37.25
2019-09-10,XMRBTC,0.007262,0.007345,0.007032,0.007118,1739.96,12.49
2019-09-09,XMRBTC,0.00742,0.00752,0.007202,0.007262,1832.4,13.5
2019-09-08,XMRBTC,0.007454,0.008198,0.007311,0.00742,5418.83,40.88
2019-09-07,XMRBTC,0.007277,0.007478,0.007135,0.007454,2230.69,16.35
2019-09-06,XMRBTC,0.007185,0.007395,0.007127,0.007277,1934.86,14.09
2019-09-05,XMRBTC,0.006989,0.007229,0.006982,0.007185,6560.59,46.94
2019-09-04,XMRBTC,0.007049,0.00708,0.006826,0.006989,2261.63,15.67
2019-09-03,XMRBTC,0.007059,0.007179,0.006955,0.007049,2330.13,16.4
2019-09-02,XMRBTC,0.007335,0.00735,0.007056,0.007059,3423.29,24.57
2019-09-01,XMRBTC,0.006995,0.007498,0.006982,0.007335,4061.41,29.69
2019-08-31,XMRBTC,0.007081,0.007085,0.006949,0.006995,2006.64,14.06
2019-08-30,XMRBTC,0.007048,0.00711,0.00691,0.007081,10660.23,74.61
2019-08-29,XMRBTC,0.007405,0.007445,0.007,0.007048,7944.02,57.56
2019-08-28,XMRBTC,0.00771,0.007843,0.007361,0.007405,8077.5,60.67
2019-08-27,XMRBTC,0.007688,0.007774,0.007639,0.00771,2677.73,20.58
2019-08-26,XMRBTC,0.007952,0.007963,0.00751,0.007688,15555.36,120.35
2019-08-25,XMRBTC,0.007941,0.008037,0.007802,0.007952,7007.74,55.35
2019-08-24,XMRBTC,0.00789,0.008008,0.00773,0.007941,9126.28,71.42
2019-08-23,XMRBTC,0.008115,0.008115,0.00784,0.00789,6275.59,49.98
2019-08-22,XMRBTC,0.007971,0.00819,0.007949,0.008115,3969.88,32.05
2019-08-21,XMRBTC,0.007976,0.008155,0.007803,0.007971,15763.04,125.64
2019-08-20,XMRBTC,0.008185,0.008296,0.007876,0.007976,10808.37,86.76
2019-08-19,XMRBTC,0.008509,0.008522,0.00804,0.008185,6613.35,55.22
2019-08-18,XMRBTC,0.00801,0.008522,0.00801,0.008509,3976.97,32.75
2019-08-17,XMRBTC,0.007945,0.008098,0.007945,0.00801,1952.94,15.67
2019-08-16,XMRBTC,0.008006,0.008026,0.007719,0.007945,5233.63,41.07
2019-08-15,XMRBTC,0.00785,0.008011,0.0077,0.008006,3981.98,31.27
2019-08-14,XMRBTC,0.00788,0.008003,0.007735,0.00785,2860.07,22.58
2019-08-13,XMRBTC,0.007996,0.008015,0.00769,0.00788,11144.46,87.82
2019-08-12,XMRBTC,0.008005,0.008045,0.007962,0.007996,1539.63,12.3
2019-08-11,XMRBTC,0.008025,0.008063,0.007993,0.008005,1169.68,9.398
