Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2019-10-17,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-16,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-15,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-14,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-13,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-12,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-11,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-10,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-09,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-08,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-07,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-06,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-05,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-04,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-03,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-02,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-10-01,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-30,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-29,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-28,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-27,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-26,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-25,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-24,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-23,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-22,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-21,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-20,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-19,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-18,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-17,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-16,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-15,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-14,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-13,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-12,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-11,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-10,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-09,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-08,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-07,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-06,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-05,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-04,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-03,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-02,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-09-01,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-31,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-30,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-29,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-28,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-27,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-26,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-25,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-24,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-23,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-22,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-21,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-20,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-19,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-18,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-17,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-16,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-15,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
2019-08-14,XMRUSD,102.71,102.71,102.71,102.71,0.0,0.0
