Created on 10-17-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2019-10-17,XRPBTC,3.545e-05,3.736e-05,3.525e-05,3.654e-05,2461993.26,89.41
2019-10-16,XRPBTC,3.532e-05,3.58e-05,3.486e-05,3.545e-05,3509409.23,124.28
2019-10-15,XRPBTC,3.565e-05,3.582e-05,3.458e-05,3.532e-05,3650289.31,128.63
2019-10-14,XRPBTC,3.352e-05,3.569e-05,3.351e-05,3.565e-05,9294874.45,324.98
2019-10-13,XRPBTC,3.281e-05,3.37e-05,3.275e-05,3.352e-05,2625236.03,87.37
2019-10-12,XRPBTC,3.235e-05,3.322e-05,3.235e-05,3.281e-05,1908709.76,62.54
2019-10-11,XRPBTC,3.159e-05,3.256e-05,3.127e-05,3.235e-05,2535409.5,81.08
2019-10-10,XRPBTC,3.284e-05,3.284e-05,3.123e-05,3.159e-05,3264378.32,104.27
2019-10-09,XRPBTC,3.396e-05,3.455e-05,3.208e-05,3.284e-05,6099622.39,202.37
2019-10-08,XRPBTC,3.37e-05,3.43e-05,3.315e-05,3.396e-05,3148855.01,106.19
2019-10-07,XRPBTC,3.249e-05,3.48e-05,3.231e-05,3.37e-05,9939606.77,334.96
2019-10-06,XRPBTC,3.118e-05,3.25e-05,3.105e-05,3.249e-05,8516667.28,270.38
2019-10-05,XRPBTC,3.093e-05,3.17e-05,3.057e-05,3.118e-05,2444143.43,76.22
2019-10-04,XRPBTC,2.997e-05,3.143e-05,2.997e-05,3.093e-05,4252432.36,131.6
2019-10-03,XRPBTC,3.024e-05,3.036e-05,2.989e-05,2.997e-05,1791461.13,53.83
2019-10-02,XRPBTC,2.987e-05,3.095e-05,2.971e-05,3.024e-05,2128407.82,64.56
2019-10-01,XRPBTC,3.094e-05,3.122e-05,2.954e-05,2.987e-05,3058526.48,92.47
2019-09-30,XRPBTC,2.982e-05,3.249e-05,2.974e-05,3.094e-05,6694896.92,209.93
2019-09-29,XRPBTC,2.946e-05,3.009e-05,2.928e-05,2.982e-05,1098503.75,32.53
2019-09-28,XRPBTC,2.958e-05,2.988e-05,2.92e-05,2.946e-05,891795.55,26.38
2019-09-27,XRPBTC,3.006e-05,3.035e-05,2.944e-05,2.958e-05,2154519.46,64.31
2019-09-26,XRPBTC,2.917e-05,3.025e-05,2.889e-05,3.006e-05,3691468.45,109.2
2019-09-25,XRPBTC,2.736e-05,2.99e-05,2.707e-05,2.917e-05,5501155.63,157.98
2019-09-24,XRPBTC,2.757e-05,2.888e-05,2.536e-05,2.736e-05,11820978.57,323.18
2019-09-23,XRPBTC,2.759e-05,2.912e-05,2.721e-05,2.757e-05,3998648.56,111.91
2019-09-22,XRPBTC,2.901e-05,2.901e-05,2.693e-05,2.759e-05,4953981.16,138.05
