Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2019-10-17,DOGEBTC,3.2e-07,3.4e-07,3.2e-07,3.4e-07,247442.69,0.08296
2019-10-16,DOGEBTC,3.0e-07,3.2e-07,3.0e-07,3.2e-07,615276.52,0.1911
2019-10-15,DOGEBTC,3.0e-07,3.1e-07,3.0e-07,3.0e-07,46598.4,0.01413
2019-10-14,DOGEBTC,3.0e-07,3.1e-07,2.9e-07,3.0e-07,78434.84,0.0239
2019-10-13,DOGEBTC,2.8e-07,3.0e-07,2.8e-07,3.0e-07,168285.58,0.05018
2019-10-12,DOGEBTC,2.7e-07,2.8e-07,2.7e-07,2.8e-07,20392.78,0.005605
2019-10-11,DOGEBTC,2.7e-07,2.7e-07,2.7e-07,2.7e-07,3488.53,0.0009419
2019-10-10,DOGEBTC,2.8e-07,2.8e-07,2.7e-07,2.7e-07,1017970.24,0.2771
2019-10-09,DOGEBTC,2.8e-07,2.9e-07,2.8e-07,2.8e-07,170073.65,0.04795
2019-10-08,DOGEBTC,2.9e-07,2.9e-07,2.8e-07,2.8e-07,16712.35,0.004804
2019-10-07,DOGEBTC,2.8e-07,2.9e-07,2.8e-07,2.9e-07,12440.02,0.003601
2019-10-06,DOGEBTC,2.8e-07,2.9e-07,2.8e-07,2.8e-07,23561.3,0.006622
2019-10-05,DOGEBTC,2.9e-07,2.9e-07,2.8e-07,2.8e-07,49696.99,0.01431
2019-10-04,DOGEBTC,2.8e-07,2.9e-07,2.8e-07,2.9e-07,30214.08,0.008473
2019-10-03,DOGEBTC,2.7e-07,2.8e-07,2.7e-07,2.8e-07,6242.55,0.001748
2019-10-02,DOGEBTC,2.9e-07,3.0e-07,2.7e-07,2.7e-07,53884.14,0.01511
2019-10-01,DOGEBTC,2.8e-07,3.0e-07,2.8e-07,2.9e-07,26447.18,0.007771
2019-09-30,DOGEBTC,2.7e-07,2.8e-07,2.7e-07,2.8e-07,116295.49,0.03156
2019-09-29,DOGEBTC,2.6e-07,2.7e-07,2.6e-07,2.7e-07,258573.61,0.06972
2019-09-28,DOGEBTC,2.7e-07,2.7e-07,2.6e-07,2.6e-07,7535.42,0.001959
2019-09-27,DOGEBTC,2.7e-07,2.7e-07,2.5e-07,2.7e-07,25244.95,0.006637
2019-09-26,DOGEBTC,2.5e-07,2.7e-07,2.5e-07,2.7e-07,13887.61,0.00375
2019-09-25,DOGEBTC,2.5e-07,2.7e-07,2.5e-07,2.5e-07,1040240.99,0.2614
2019-09-24,DOGEBTC,2.7e-07,2.7e-07,2.5e-07,2.5e-07,24481.59,0.006329
2019-09-23,DOGEBTC,2.7e-07,2.7e-07,2.7e-07,2.7e-07,454.04,0.0001226
2019-09-22,DOGEBTC,2.7e-07,2.7e-07,2.6e-07,2.7e-07,301565.69,0.08141
2019-09-21,DOGEBTC,2.5e-07,2.7e-07,2.5e-07,2.7e-07,34068.16,0.009198
2019-09-20,DOGEBTC,2.7e-07,2.9e-07,2.5e-07,2.5e-07,1058675.64,0.2883
2019-09-19,DOGEBTC,2.8e-07,2.8e-07,2.7e-07,2.7e-07,5890.0,0.00164
2019-09-18,DOGEBTC,2.4e-07,2.8e-07,2.4e-07,2.8e-07,346158.12,0.09283
2019-09-17,DOGEBTC,2.4e-07,2.4e-07,2.3e-07,2.4e-07,304437.93,0.0727
2019-09-16,DOGEBTC,2.3e-07,2.4e-07,2.3e-07,2.4e-07,19274.88,0.004626
2019-09-15,DOGEBTC,2.2e-07,2.4e-07,2.2e-07,2.3e-07,97965.69,0.02319
2019-09-14,DOGEBTC,2.4e-07,2.4e-07,2.2e-07,2.2e-07,9998.0,0.002227
2019-09-13,DOGEBTC,2.4e-07,2.4e-07,2.4e-07,2.4e-07,0.0,0.0
2019-09-12,DOGEBTC,2.4e-07,2.4e-07,2.4e-07,2.4e-07,5515.12,0.001324
2019-09-11,DOGEBTC,2.2e-07,2.4e-07,2.2e-07,2.4e-07,38672.34,0.008881
