date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-08-01,308149,89,68606659,770861.337078652,25.85146816,5411499996.853309568323511572,209330470.6115271704752909707,860221984436.22,0.000675808737826256,0.2218868641358095788729101065,0.00030561,0.10034028971963113134,52.0440309,17087.5074070987040216646,1112.5,2.4636727014294,365264.789480349575,1112.5,365264.789480349575,21.16922533,,0.12038175659840059,328.327900656494,,,16481998.5935797,77010,207932,778582.9823848,255630516.0932734323577268912,7.18677134516539,2359.617548256399918854007543,0.01359,4.46197616992175346,1494359.73934293,490639996.0440497894671974874,,,
2017-08-02,16751,7,4320573,617224.714285714,24.74393817,5653824428.630081984861105438,228493313.7696298663597589647,731435770343.43,0.00115189937051466,0.3951342544483054930578885062,0.00037976,0.13026848378452061848,5.61781323,1927.06975894438698047379,87.5,0.193770981529096,30014.9892857213875,87.5,30014.9892857213875,171.07852984,,0.12751296428039804,343.028448979673,,,16482086.0935797,4877,6428,96342.22429141,33048123.76993414792991850893,23.3993798884319,8026.652990214948504130944769,0.9852775,337.9782126395697642575,150411.21392284,51595325.42110160212975043132,,,
2017-08-03,80506,35,17829726,509420.742857143,16.21579497,4994964257.670632571357196673,308030797.6544527255491012454,230740532887.449,0.000893997488810672,0.2709224396193803268054771137,0.0002951,0.0894288998932641624,20.57356421,6234.73810296080105600904,437.5,0.968829191072426,132582.6624984855,437.5,132582.6624984855,31.52500113,,0.1086285460289068,303.046085710824,,,16482523.5935797,23013,37546,522839.74634885,158444538.5850590766109249524,27.9680993597182,8475.623035734003472519329797,0.97483386,295.41958549137340370064,1050090.25855998,318225742.4996690346289392235,,,
2017-08-04,88105,19,21606631,1137191.10526316,8.80246211,3230499417.822556689614810123,366999525.4596286367958498764,225505642691.992,0.000806855331484466,0.158137684810761759194021101,0.00025842,0.05064841107712730808,21.52932081,4219.58784380555479013244,237.5,0.525928268375898,46548.24561108945,237.5,46548.24561108945,18.4460163,,0.06852234868497947,195.992613099324,,,16482761.0935797,26683,41505,893567.5229602,175132633.8056597936530989048,32.1421740789546,6299.62868842766966058788669,0.9573775,187.63891794749806281,1334060.93514701,261466088.7131902973596716212,,,
2017-08-05,44381,13,9964347,766488.230769231,8.20840019,3188357892.363154579416134307,388426224.3044029810639204611,225505642691.992,0.000762004988819876,0.1473976753171558901800652741,0.0002497,0.0483004705568848969,9.20121024,1779.82692945465685165248,162.5,0.359842109703784,31433.0254925662625,162.5,31433.0254925662625,27.15877018,,0.05974936896551706,193.434003031177,,,16482923.5935797,12075,19606,606909.79309401,117396990.7569977362413219498,45.5780951501449,8816.353395428402309530767547,0.99984032,193.40311548957298165664,893604.13351374,172853424.670769079771777872,,,
2017-08-06,33613,65,7030341,108159.092307692,8.46552775,3469877361.150519587113294119,409883171.2401697540883060926,144878792817.239,0.000687714886218107,0.1447661076995679874761146449,0.000226,0.04757369804806902,6.98099381,1469.5207592583137658087,812.5,1.79912186361385,171033.759575469375,812.5,171033.759575469375,42.49645677,,0.06516888016012572,210.50308870827,,,16483736.0935797,10151,16487,387884.95196828,81650980.4527818929792136756,44.4807089984582,9363.326632109190101259589314,0.79554634,167.4649617805595262318,733353.44925758,154373166.1835841449127061866,,,
2017-08-07,58611,78,11597154,148681.461538462,10.8082265,5295001375.506671086685155416,489904738.1398950982511485952,144323701657.02,0.000537117938539578,0.1725259367441411456216601758,0.00019493,0.0626128424252159704,9.10629753,2925.0047315601672444984,975,2.158818543921,313176.634507698,975,313176.634507698,34.7171531,,0.09467970371246966,321.20680462328,,,16484711.0935797,16954,29195,474829.00005581,152518305.8503939708860252568,47.649999927702,15305.50421707668243934610256,0.9999775,321.1995774701759762,1391141.74788926,446844195.6175537791494579728,,,
2017-08-08,34565,23,10299439,447801.695652174,10.42465498,5636590756.742554922532280744,540698063.0164683351943150816,126753916021.911,0.000695280034485732,0.2377318380394786043235727477,0.00021662,0.07406723651169167378,8.06455312,2757.45158941991046191728,287.5,0.636563596923019,98302.6982601392125,287.5,98302.6982601392125,52.03414045,,0.09981164803303307,341.922428730919,,,16484998.5935797,11599,19661,316811.20221653,108324855.7110382464477438911,41.7646942834927,14280.28570461615288527180079,0.81086557,277.25312506868101155883,821135.65430775,280764697.2384581905279663222,,,
2017-08-09,30593,95,6680110,70316.9473684211,8.85466014,4987840124.751941270090271062,563301136.7886104263949285309,115459053827.912,0.000495931862930708,0.1500425162634845664022070425,0.00019493,0.05897541553874220625,5.2390242,1585.049141807451167625,1187.5,2.62909503471392,359274.1289296484375,1187.5,359274.1289296484375,70.86618269,,0.09038755976988103,302.546634888125,,,16486186.0935797,10564,17400,232638.26932286,70383925.5298286151956050375,30.7254445768466,9295.879862166528629156286625,0.999467125,302.385415350058990390625,534622.73563713,161748309.6016973440081460812,,,
2017-08-10,31527,100,7069172,70691.72,7.92474306,4600009225.867040106298855238,580461624.2663865561036396479,115459053827.912,0.00054307466092357,0.151518309845387636490611123,0.0002158,0.0602083905167440306,5.42151434,1512.60728718650496759638,1250,2.76725864112775,348751.10354925875,1250,348751.10354925875,71.90830028,,0.0811749411176777,279.000882839407,,,16487436.0935797,9983,17292,229284.18595004,63970490.30117591861104522628,25.7088729060982,7172.798237607508858101571767,0.59899035,167.11883646228539272245,444557.83029225,124032027.1247090224166266958,,,
