date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2011-10-07,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
2011-10-08,2,2,430,215,,,0,0.000244140625,,,,,0,,100,36500,,100,,,,,,,,100,0,0,0,,,,,,,,,,
2011-10-09,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,100,0,0,0,,,,,,,,,,
2011-10-10,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,100,0,0,0,,,,,,,,,,
2011-10-11,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,100,0,0,0,,,,,,,,,,
2011-10-12,2,2,430,215,,,0,0.000244140625,,,,,0,,100,18250,,100,,,,,,,,200,0,0,0,,,,,,,,,,
2011-10-13,9778,9685,2189503,226.071553949406,,,0,0.00374115898042622,0.0000108695652173913,,0,,0.001,,484250,36484.931365466,,484250,,11.85982497,,,,,,484450,92,144,40847.989,,306.940815972222,,50,,44199.4775,,,,
2011-10-14,1531,1122,295956,263.775401069519,,,0,0.046206550802139,0.000032258064516129,,0,,0.002,,56100,3788.08620849135,,56100,,24.28128967,,,,,,540550,62,86,22261.99708938,,261.841633528023,,50,,22518.38048341,,,,
2011-10-15,1514,762,313095,410.885826771654,,,0,0.0625,0.000178571428571429,,0,,0.08,,38100,2403.2662231055,,38100,,22.31618836,,,,,,578650,448,870,25929.60726894,,35.4576436646207,,12.179440715,,30848.14998822,,,,
2011-10-16,4843,915,925038,1010.97049180328,,,0,0.0744594963394304,0.000640276749291785,,0,,0.90407077,,45750,2674.36739269699,,45750,,3.53982218,,,,,,624400,1412,2756,176393.04139337,,72.2661833718759,,9.802898595,,199165.60137289,,,,
2011-10-17,3150,773,766661,991.799482535576,,,0,0.0903446288818814,0.000224510969162996,,0,,0.35674793,,38650,2127.62989216499,,38650,,9.83867714,,,,,,663050,1589,3100,67392.19008742,,29.6344595242258,,9.85572401,,91866.8245251,,,,
2011-10-18,3743,826,834230,1009.96368038741,,,0,0.0903446288818813,0.000225384495468278,,0,,0.37301134,,41300,2140.20018456733,,41300,,5.17159236,,,,,,704350,1655,3276,136195.96259041,,49.7243382228907,,10.512223195,,162896.93201819,,,,
2011-10-19,2625,643,702199,1092.06687402799,,,0,0.124707431528227,0.000227923685344828,,0,,0.31726977,,32150,1593.31296673456,,32150,,12.37489353,,,,,,736500,1392,2750,59515.66354663,,31.1441954781818,,10.485045705,,85646.537565,,,,
2011-10-20,3722,759,851988,1122.51383399209,,,0,0.1260397534402,0.000173829792802617,,0,,0.31880384,,37950,1788.59190393182,,37950,,9.0933348,,,,,,774450,1834,3629,85166.77509975,,32.1639512355497,,10.373948,,116722.97903381,,,,
2011-10-21,3187,831,792899,954.150421179302,,,0,0.135786062166215,0.000180407308146399,,0,,0.30560998,,41550,1858.54779411765,,41550,,12.41717736,,,,,,816000,1694,3356,65715.41794114,,27.6157232285518,,8.641433665,,92678.36715502,,,,
2011-10-22,2869,728,739364,1015.60989010989,,,0,0.168004429871899,0.000325750751677852,,0,,0.48536862,,36400,1558.65790708588,,36400,,8.30768634,,,,,,852400,1490,2948,102603.77737522,,46.3187269173982,,10.22972091,,136547.60695249,,,,
2011-10-23,3156,828,762964,921.454106280193,,,0,0.168004429871899,0.000272755806654112,,0,,0.4345,,41400,1690.64667710897,,41400,,8.48830367,,,,,,893800,1593,3162,105297.83508556,,40.3402987812777,,10.351710545,,127556.0247464,,,,
2011-10-24,2671,596,630532,1057.93959731544,,,0,0.196833752725512,0.000236700976971389,,0,,0.3391925,,29800,1177.67431788653,,29800,,14.6979864,,,,,,923600,1433,2833,62838.5395532,,29.140035866336,,9.16042855,,82553.72160933,,,,
2011-10-25,2407,523,571836,1093.37667304015,,,0,0.22023019406872,0.000187101910828025,,0,,0.235,,26150,1004.97499341932,,26150,,12.84061973,,,,,,949750,1256,2491,73964.49859642,,39.592241863621,,9.17553841,,98624.27448228,,,,
2011-10-26,4208,577,866953,1502.51819757366,,,0,0.22023019406872,0.000247895503816794,,0,,0.32474311,,28850,1076.0525240139,,28850,,6.19594605,,,,,,978600,1310,2593,157941.98217642,,72.5371166279021,,8.3392925,,188088.74341615,,,,
2011-10-27,1877,427,448357,1050.01639344262,,,0,0.22023019406872,0.000152340010570825,,0,,0.14411365,,21350,779.313965698285,,21350,,18.06484449,,,,,,999950,946,1853,55353.36883792,,36.7030555057474,,8.2886569,,68010.76185215,,,,
2011-10-28,2639,451,703604,1560.09756097561,,,0,0.199371758385712,0.000195736007142857,,0,,0.27403041,,22550,804.963325183374,,22550,,13.36453545,,,,,,1022500,1400,2767,76508.45806221,,34.6287434780954,,9.60939409,,95817.73320389,,,,
2011-10-29,2902,580,778945,1343.00862068966,,,0,0.187903202683715,0.000465826108506363,,0,,0.69547838,,29000,1006.65715644318,,29000,,11.40696901,,,,,,1051500,1493,2946,92180.49063684,,39.6436855621283,,9.012940765,,116790.29766603,,,,
2011-10-30,3202,736,773802,1051.36141304348,,,0,0.187903202683715,0.001003731447444,,0,,1.74749645,,36800,1234.21850592667,,36800,,7.48224829,,,,,,1088300,1741,3439,145450.93371612,,55.7096461461268,,7.86646199,,191585.47309653,,,,
2011-10-31,3718,660,856753,1298.11060606061,,,0,0.193568950349167,0.000498117913870246,,0,,0.89063483,,33000,1074.19958976188,,33000,,3.38005947,,,,,,1121300,1788,3537,331739.72544887,,113.230407122836,,6.32620233,,400495.94999347,,,,
